"id","post_title","url","category","no_reads"
496820,"Premier League transfer news: Update from Klopp, Manchester United and Manchester City ready to make €250 million bid for Real Madrid target and more - December 14, 2018","https://www.sportskeeda.com/football/premier-league-transfer-news-december-14-2018-ss","football","5233"
496830,"Hazard sets condition to join Real Madrid, Barcelona legend wants them to sign Real Madrid star and more La Liga news – 14th December 2018","https://www.sportskeeda.com/football/la-liga-news-transfer-round-up-14th-december-2018","football","182"
496854,"IPL 2019: 3 players for whom the next IPL could be the last","https://www.sportskeeda.com/cricket/ipl-2019-3-players-for-whom-the-next-ipl-could-be-the-last-ss","cricket","975"
496814,"Barcelona Transfer News: Club consider surprise swoop for Chelsea forward, chances of signing PSG midfielder increase, and more – December 14, 2018","https://www.sportskeeda.com/football/barcelona-transfer-news-december-14-2018","football","814"
496788,"WWE TLC 2018: 5 Shocking returns that could take place","https://www.sportskeeda.com/wwe/wwe-tlc-2018-5-shocking-returns-that-could-take-place","wwe","5932"
496863,"Real Madrid transfer news: Ronaldo wants Vinicius, Madrid to offer Manchester United target plus £135 million for superstar forward and more - December 14, 2018","https://www.sportskeeda.com/football/real-madrid-transfer-news-december-12-2018-ss","football","755"
496861,"We need to get back to respect - Lampard alarmed by hate in football","https://www.sportskeeda.com/football/we-need-to-get-back-to-respect-lampard-alarmed-by-hate-in-football","football","157"
496870,"Australia vs India 2018-19: Time for Batsman Kohli to come to the rescue of Captain Kohli","https://www.sportskeeda.com/cricket/australia-vs-india-2018-19-time-for-batsman-kohli-to-come-to-the-rescue-of-captain-kohli","cricket","139"
496871,"Liverpool 'not really likely' to be active in January window, reveals Klopp","https://www.sportskeeda.com/football/liverpool-not-really-likely-to-be-active-in-january-window-reveals-klopp","football","64"
496847,"Juventus to rest Ronaldo after Torino showdown","https://www.sportskeeda.com/football/juventus-to-rest-ronaldo-after-torino-showdown","football","309"
496838,"Unpopular Opinion: TLC is the worst WWE PPV name","https://www.sportskeeda.com/wwe/unpopular-opinion-tlc-is-the-worst-wwe-ppv-name","wwe","113"
496872,"Hockey World Cup 2018, Semifinal 2: Australia vs Netherlands - Preview, Prediction, Telecast, Date, Start time and Where to Watch ","https://www.sportskeeda.com/hockey/hockey-world-cup-2018-semifinal-2-australia-vs-netherlands-preview-prediction-telecast-date-start-time-and-where-to-watch-online","hockey","30"
496770,"WWE News: John Cena says his time is up","https://www.sportskeeda.com/wwe/wwe-news-john-cena-says-his-time-is-up","wwe","3455"
496831,"Pro Kabaddi League 2018, Match 112: Bengal Warriors vs Tamil Thalaivas, Player Ratings","https://www.sportskeeda.com/kabaddi/pro-kabaddi-league-2018-match-112-bengal-warriors-vs-tamil-thalaivas-player-ratings-ss","kabaddi","82"
496849,"PUBG News: PUBG Celebrates PUBG Xbox Anniversary with Free SCAR-L Skin Giveaway -""The Year One - SCAR-L Skin"" ","https://www.sportskeeda.com/esports/pubg-news-pubg-celebrates-pubg-xbox-anniversary-with-free-scar-l-skin-giveaway-the-year-one-scar-l-skin","esports","51"
496829,"NBA 2018-19, Denver Nuggets vs Oklahoma City Thunder: Preview and Prediction","https://www.sportskeeda.com/basketball/nba-2018-19-denver-nuggets-vs-oklahoma-city-thunder-preview-and-prediction","basketball","29"
496827,"World Tour Finals: Sindhu keeps clean slate, Sameer too qualifies for knockout stage","https://www.sportskeeda.com/badminton/world-tour-finals-sindhu-keeps-clean-slate-sameer-too-qualifies-for-knockout-stage","badminton","88"
496856,"Hockey World Cup 2018, Semifinal 1: Belgium vs England - Preview, Prediction, Telecast, Date, Start time and Where to Watch online","https://www.sportskeeda.com/hockey/hockey-world-cup-2018-semifinal-1-belgium-vs-england-preview-prediction-telecast-date-start-time-and-where-to-watch-online","hockey","54"
496878,"Nintendo Switch News: Switch surpasses PS Vita Sales in Japan with 6 million units sold","https://www.sportskeeda.com/esports/nintendo-switch-news-switch-surpasses-ps-vita-sales-in-japan-6-million-units-sold","esports","0"
496775,"Predicting the 3 title changes which will take place at WWE TLC","https://www.sportskeeda.com/wwe/predicting-the-3-title-changes-which-will-take-place-at-wwe-tlc","wwe","1052"
